app	product_id	type	price_usd	reward_qty	reward_unit	duration	notes
BlockPuzzle	five_lives	consumable	0.99	5	lives		
BlockPuzzle	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
BlockPuzzle	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
BlockPuzzle	hint_pack	consumable	1.99	10	hints		
BlockPuzzle	starter_pack	consumable	0.99	bundle	coins+lives+hints		
BlockPuzzle	season_pass_monthly	subscription	1.99		subscription	P1M	
BloodPressureLog	remove_ads	non_consumable	2.99		ads_off	forever	
BloodPressureLog	coins_small	consumable	0.99	100	coins		
BloodPressureLog	coins_large	consumable	2.99	500	coins		
BloodPressureLog	five_lives	consumable	0.99	5	lives		
BloodPressureLog	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
BloodPressureLog	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
BloodPressureLog	hint_pack	consumable	1.99	10	hints		
BloodPressureLog	starter_pack	consumable	0.99	bundle	coins+lives+hints		
BloodPressureLog	season_pass_monthly	subscription	1.99		subscription	P1M	
BloodSugarLog	remove_ads	non_consumable	2.99		ads_off	forever	
BloodSugarLog	coins_small	consumable	0.99	100	coins		
BloodSugarLog	coins_large	consumable	2.99	500	coins		
BloodSugarLog	five_lives	consumable	0.99	5	lives		
BloodSugarLog	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
BloodSugarLog	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
BloodSugarLog	hint_pack	consumable	1.99	10	hints		
BloodSugarLog	starter_pack	consumable	0.99	bundle	coins+lives+hints		
BloodSugarLog	season_pass_monthly	subscription	1.99		subscription	P1M	
BreathingExercise	remove_ads	non_consumable	2.99		ads_off	forever	
BreathingExercise	coins_small	consumable	0.99	100	coins		
BreathingExercise	coins_large	consumable	2.99	500	coins		
BreathingExercise	five_lives	consumable	0.99	5	lives		
BreathingExercise	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
BreathingExercise	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
BreathingExercise	hint_pack	consumable	1.99	10	hints		
BreathingExercise	starter_pack	consumable	0.99	bundle	coins+lives+hints		
BreathingExercise	season_pass_monthly	subscription	1.99		subscription	P1M	
BrickBreaker	remove_ads	non_consumable	2.99		ads_off	forever	
BrickBreaker	coins_small	consumable	0.99	100	coins		
BrickBreaker	coins_large	consumable	2.99	500	coins		
BrickBreaker	five_lives	consumable	0.99	5	lives		
BrickBreaker	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
BrickBreaker	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
BrickBreaker	hint_pack	consumable	1.99	10	hints		
BrickBreaker	starter_pack	consumable	0.99	bundle	coins+lives+hints		
BrickBreaker	season_pass_monthly	subscription	1.99		subscription	P1M	
BubbleShooter	remove_ads	non_consumable	2.99		ads_off	forever	
BubbleShooter	coins_small	consumable	0.99	100	coins		
BubbleShooter	coins_large	consumable	2.99	500	coins		
BubbleShooter	five_lives	consumable	0.99	5	lives		
BubbleShooter	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
BubbleShooter	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
BubbleShooter	hint_pack	consumable	1.99	10	hints		
BubbleShooter	starter_pack	consumable	0.99	bundle	coins+lives+hints		
BubbleShooter	season_pass_monthly	subscription	1.99		subscription	P1M	
BudgetPlanner	remove_ads	non_consumable	2.99		ads_off	forever	
BudgetPlanner	coins_small	consumable	0.99	100	coins		
BudgetPlanner	coins_large	consumable	2.99	500	coins		
BudgetPlanner	five_lives	consumable	0.99	5	lives		
BudgetPlanner	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
BudgetPlanner	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
BudgetPlanner	hint_pack	consumable	1.99	10	hints		
BudgetPlanner	starter_pack	consumable	0.99	bundle	coins+lives+hints		
BudgetPlanner	season_pass_monthly	subscription	1.99		subscription	P1M	
CapitalCities	remove_ads	non_consumable	2.99		ads_off	forever	
CapitalCities	coins_small	consumable	0.99	100	coins		
CapitalCities	coins_large	consumable	2.99	500	coins		
CapitalCities	five_lives	consumable	0.99	5	lives		
CapitalCities	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
CapitalCities	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
CapitalCities	hint_pack	consumable	1.99	10	hints		
CapitalCities	starter_pack	consumable	0.99	bundle	coins+lives+hints		
CapitalCities	season_pass_monthly	subscription	1.99		subscription	P1M	
CharadesApp	remove_ads	non_consumable	2.99		ads_off	forever	
CharadesApp	coins_small	consumable	0.99	100	coins		
CharadesApp	coins_large	consumable	2.99	500	coins		
CharadesApp	five_lives	consumable	0.99	5	lives		
CharadesApp	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
CharadesApp	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
CharadesApp	hint_pack	consumable	1.99	10	hints		
CharadesApp	starter_pack	consumable	0.99	bundle	coins+lives+hints		
CharadesApp	season_pass_monthly	subscription	1.99		subscription	P1M	
ChessClock	remove_ads	non_consumable	2.99		ads_off	forever	
ChessClock	coins_small	consumable	0.99	100	coins		
ChessClock	coins_large	consumable	2.99	500	coins		
ChessClock	five_lives	consumable	0.99	5	lives		
ChessClock	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
ChessClock	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
ChessClock	hint_pack	consumable	1.99	10	hints		
ChessClock	starter_pack	consumable	0.99	bundle	coins+lives+hints		
ChessClock	season_pass_monthly	subscription	1.99		subscription	P1M	
ChoreChart	remove_ads	non_consumable	2.99		ads_off	forever	
ChoreChart	coins_small	consumable	0.99	100	coins		
ChoreChart	coins_large	consumable	2.99	500	coins		
ChoreChart	five_lives	consumable	0.99	5	lives		
ChoreChart	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
ChoreChart	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
ChoreChart	hint_pack	consumable	1.99	10	hints		
ChoreChart	starter_pack	consumable	0.99	bundle	coins+lives+hints		
ChoreChart	season_pass_monthly	subscription	1.99		subscription	P1M	
CocktailGuide	remove_ads	non_consumable	2.99		ads_off	forever	
CocktailGuide	coins_small	consumable	0.99	100	coins		
CocktailGuide	coins_large	consumable	2.99	500	coins		
CocktailGuide	five_lives	consumable	0.99	5	lives		
CocktailGuide	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
CocktailGuide	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
CocktailGuide	hint_pack	consumable	1.99	10	hints		
CocktailGuide	starter_pack	consumable	0.99	bundle	coins+lives+hints		
CocktailGuide	season_pass_monthly	subscription	1.99		subscription	P1M	
CoffeeGuide	remove_ads	non_consumable	2.99		ads_off	forever	
CoffeeGuide	coins_small	consumable	0.99	100	coins		
CoffeeGuide	coins_large	consumable	2.99	500	coins		
CoffeeGuide	five_lives	consumable	0.99	5	lives		
CoffeeGuide	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
CoffeeGuide	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
CoffeeGuide	hint_pack	consumable	1.99	10	hints		
CoffeeGuide	starter_pack	consumable	0.99	bundle	coins+lives+hints		
CoffeeGuide	season_pass_monthly	subscription	1.99		subscription	P1M	
CoinFlip	remove_ads	non_consumable	2.99		ads_off	forever	
ColorFill	remove_ads	non_consumable	2.99		ads_off	forever	
ColorFill	coins_small	consumable	0.99	100	coins		
ColorFill	coins_large	consumable	2.99	500	coins		
CompoundInterest	remove_ads	non_consumable	2.99		ads_off	forever	
CompoundInterest	coins_small	consumable	0.99	100	coins		
CompoundInterest	coins_large	consumable	2.99	500	coins		
CompoundInterest	five_lives	consumable	0.99	5	lives		
